id_poste,id_entreprise,titre,description,skills,annee_experience,salaire_min,salaire_max,type_contrat,remote_policy,langues,latitude,longitude
1,1,Senior Back-End Developer,"Sensefuel
Fondée en 2017 par Christophe et Stéphane, Sensefuel développe une plateforme SaaS de recherche e-commerce et de découverte produits fondée sur une puissante technologie de Deep Learning.
Avec plus de 100 clients en France et en Europe, Sensefuel offre ses services à de multiples acteurs de l’e-commerce. La solution permet à nos clients d’optimiser leur performance en améliorant les taux","[{'name': 'Javascript', 'value': 50.0}, {'name': 'NodeJS', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}]",3,45.0,60.0,"{""permanent"": true}",3.0,fr,,
2,2,Ingénieur .net / SQL confirmé(e) - Lead - H/F ,"Pour renforcer nos équipes, nous recherchons un(e) ingénieur .net / SQL pour notre site de Marseille.
Au sein d’une petite équipe agile, animée par un chef de projet et en relation avec le PO, vous avez comme principales missions :
•	assurer le lead technique de l’équipe,
•	analyser le besoin métier communiqué par le client pour définir la meilleure stratégie de réalisation,
•	écrire le code corre","[{'name': '.NET core', 'value': 100.0}, {'name': 'WPF', 'value': 100.0}, {'name': 'Microsoft SQL Server', 'value': 100.0}, {'name': 'Android', 'value': 50.0}, {'name': 'Agile', 'value': 50.0}, {'name': 'C#', 'value': 50.0}, {'name': 'SCRUM', 'value': 50.0}]",3,45.0,55.0,"{""permanent"": true}",2.0,fr,,
3,3,Développeur.se  Full stack Java,"Concepteur-développeur confirmé, vous disposez d'au moins 2 ans d'expériences en développement en Java.
Nous recherchons des développeurs passionnés qui se démarquent par leur culture technologique, leur esprit d’équipe et leur pragmatisme.
Nous offrons un environnement bienveillant où le partage est une valeur clé tant entre nous qu'envers la communauté open source.
Au sein d'une équipe, vos miss","[{'name': 'Java', 'value': 100.0}, {'name': 'Spring', 'value': 70.0}, {'name': 'Angular', 'value': 50.0}, {'name': 'vueJS', 'value': 50.0}, {'name': 'React', 'value': 50.0}, {'name': 'Javascript', 'value': 30.0}, {'name': 'PostgreSQL', 'value': 70.0}, {'name': 'Docker', 'value': 70.0}, {'name': 'NodeJS', 'value': 50.0}, {'name': 'Git', 'value': 80.0}, {'name': 'Kubernetes', 'value': 50.0}]",2,32.0,50.0,"{""permanent"": true}",2.0,fr,,
4,4,Principal Software Engineer Python en startup - Full remote 75/90K,"Description🚀 **Rejoins Mergify en tant que Principal Software Engineer expert Python**  
  
**Rémunération brute annuelle : 75k€ à 90k€ en full remote  
Statut cadre au forfait  
  
Avantages : Flexibilité horaire, Full Remote, Tickets Restaurants, BSPCE**  
  
  
🏗️ **L'entreprise : un produit par les techs pour les techs  
  
Mergify** révolutionne la manière dont les ingénieurs logiciels gère","[{'name': 'Python', 'value': 50.0}, {'name': 'Typescript', 'value': 50.0}, {'name': 'Bootstrap', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}, {'name': 'Github', 'value': 50.0}, {'name': 'PostgreSQL', 'value': 50.0}, {'name': 'React', 'value': 50.0}, {'name': 'Redis', 'value': 50.0}]",8,75.0,90.0,"{""permanent"": true}",,,,
5,4,Lead Software Engineer Fullstack (Node & Vue) 45/60K hybride à Rennes,"🎯L'entrepriseCYIM fondée en 2001, se positionne à l'avant-garde du numérique au service des sociétés savantes de spécialité médicale. Notre mission est d'accompagner ces institutions prestigieuses dans leur transition numérique, en leur fournissant des services informatiques adaptés à leurs besoins spécifiques.  
**Nos Services Clés :****Gestion d'Événements :** Nous fournissons des plateformes c","[{'name': 'NodeJS', 'value': 50.0}, {'name': 'Anglais', 'value': 50.0}, {'name': 'Gestion de projet', 'value': 50.0}, {'name': 'Management', 'value': 50.0}, {'name': 'React', 'value': 50.0}, {'name': 'Typescript', 'value': 50.0}]",6,55.0,60.0,"{""permanent"": true}",2.0,,,
6,4,Fullstack Software Engineer Saas (Symfony & React) 50/65K full remote,"Description**🚀Rejoins Octorenov pour donner du sens à ta carrière !**  
  
Octorenov, une jeune pousse dynamique, qui a vu le jour il y a un an. Filiale de la société NeedHelp, qui opère depuis 2014, Octorenov s'appuie sur son expertise dans le développement d'applications SaaS pour être rapidement opérationnelle.  
  
Le produit est un outil de suivi dédié au suivi des prestations d'installation","[{'name': 'Symfony', 'value': 50.0}, {'name': 'DDD', 'value': 50.0}, {'name': 'PHP', 'value': 50.0}, {'name': 'React', 'value': 50.0}, {'name': 'Github', 'value': 50.0}, {'name': 'Gitlab', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}, {'name': 'Javascript', 'value': 50.0}, {'name': 'Jira', 'value': 50.0}, {'name': 'Notion', 'value': 50.0}, {'name': 'PostgreSQL', 'value': 50.0}, {'name': 'Slack', 'value': 50.0}, {'name': 'Typescript', 'value': 50.0}]",8,50.0,65.0,"{""permanent"": true}",3.0,,,
7,5,Développeur Java / Spring,"“Jetdev c’est tout ce que vous m’aviez vendu”, “La co-construction et le bien-être des collabs ce n’est pas du bullshit”, “On est une famille”, “Quand on est Jetdev et qu’on arrive chez un client, on a l’impression d’être un super-héros” … Et ce n’est qu’une infime partie des retours des JetDevelopers ! Beaucoup d’ESN vont vous vendre “une boite à taille humaine” qui met “le collaborateur au coeur","[{'name': 'Spring', 'value': 50.0}, {'name': 'Spring Boot', 'value': 50.0}, {'name': 'Java', 'value': 50.0}, {'name': 'PostgreSQL', 'value': 50.0}, {'name': 'MongoDB', 'value': 50.0}, {'name': 'Google Cloud', 'value': 50.0}, {'name': 'Git', 'value': 50.0}]",2,36.0,55.0,"{""permanent"": true}",3.0,fr,,
8,5,Développeur Fullstack,"“Jetdev c’est tout ce que vous m’aviez vendu”, “La co-construction et le bien-être des collabs ce n’est pas du bullshit”, “On est une famille”, “Quand on est Jetdev et qu’on arrive chez un client, on a l’impression d’être un super-héros” … Et ce n’est qu’une infime partie des retours des JetDevelopers ! Beaucoup d’ESN vont vous vendre “une boite à taille humaine” qui met “le collaborateur au coeur","[{'name': 'React', 'value': 50.0}, {'name': 'VueJS', 'value': 50.0}, {'name': 'Angular', 'value': 50.0}, {'name': 'Spring Boot', 'value': 50.0}, {'name': 'Kubernetes', 'value': 50.0}, {'name': 'Nest', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}, {'name': 'Blockchain', 'value': 50.0}, {'name': 'Agile', 'value': 50.0}]",2,36.0,55.0,"{""permanent"": true}",3.0,fr,,
9,4,Lead Software Engineer Fullstack (Node & Vue) 45/60K hybride à Rennes,"🎯L'entrepriseCYIM fondée en 2001, se positionne à l'avant-garde du numérique au service des sociétés savantes de spécialité médicale. Notre mission est d'accompagner ces institutions prestigieuses dans leur transition numérique, en leur fournissant des services informatiques adaptés à leurs besoins spécifiques.  

##### **Nos Services Clés :**

**Gestion d'Événements :** Nous fournissons des plat","[{'name': 'NodeJS', 'value': 50.0}, {'name': 'Anglais', 'value': 50.0}, {'name': 'Gestion de projet', 'value': 50.0}, {'name': 'Management', 'value': 50.0}, {'name': 'React', 'value': 50.0}, {'name': 'Typescript', 'value': 50.0}]",6,55.0,60.0,"{""permanent"": true}",2.0,,,
10,4,Fullstack Software Engineer Saas (Symfony & React) 50/65K full remote,"Description**🚀Rejoins Octorenov pour donner du sens à ta carrière !**  
  
Octorenov, une jeune pousse dynamique, qui a vu le jour il y a un an. Filiale de la société NeedHelp, qui opère depuis 2014, Octorenov s'appuie sur son expertise dans le développement d'applications SaaS pour être rapidement opérationnelle.  
  
Le produit est un outil de suivi dédié au suivi des prestations d'installation","[{'name': 'Symfony', 'value': 50.0}, {'name': 'DDD', 'value': 50.0}, {'name': 'PHP', 'value': 50.0}, {'name': 'React', 'value': 50.0}, {'name': 'Github', 'value': 50.0}, {'name': 'Gitlab', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}, {'name': 'Javascript', 'value': 50.0}, {'name': 'Jira', 'value': 50.0}, {'name': 'Notion', 'value': 50.0}, {'name': 'PostgreSQL', 'value': 50.0}, {'name': 'Slack', 'value': 50.0}, {'name': 'Typescript', 'value': 50.0}]",8,50.0,65.0,"{""permanent"": true}",3.0,,,
11,6,Senior Machine Learning Engineer,"About us
Zar is building the next generation of coaching tools for esports players. We leverage machine learning to provide comprehensive support to gamers in their quest for progression and self-achi","[{'name': 'Python', 'value': 100.0}, {'name': 'NoSQL', 'value': 30.0}, {'name': 'PostgreSQL', 'value': 30.0}, {'name': 'Google Cloud', 'value': 70.0}]",5,,,"{""permanent"": true}",,,,
12,7,Cloud Ops,"A propos de Neomi
Neomi est une start-up qui vise à améliorer et faciliter les relations entre banques et promoteurs immobilier. Nous sommes actuellement 8 et en phase de croissance rapide.
Nous sommes situés en plein cœur de Paris dans un accélérateur de startups (Le Village by CA, 55 rue de la Boétie, 75008 PARIS).
https://www.linkedin.com/company/neomi-immo/
Profil recherché

De formation Bac+3","[{'name': 'Kubernetes', 'value': 50.0}, {'name': 'Docker', 'value': 50.0}, {'name': 'Terraform', 'value': 50.0}, {'name': 'Azure', 'value': 50.0}]",1,40.0,50.0,"{""permanent"": true}",3.0,fr,,
13,8,DELIVERY MANAGER (H/F),"Le Delivery Manager a pour mission d’encadrer les équipes IT gérant un projet ou produit de bout-en-bout, dans les phases de Build et de Run, et dans un mode de fonctionnement Agile/DevOps.

Son rôle est d’assurer l’efficacité de ses équipes sur les sujets de QoS, de Delivery et d’Agilité, et de veiller à ce qu’elles se montrent à la hauteur du cadre d’autonomie qui leur est confié. Il suit égalem","[{'name': 'Gestion de projet', 'value': 50.0}, {'name': 'Management', 'value': 50.0}]",1,40.0,60.0,"{""permanent"": true}",3.0,fr,,
14,9,Software Engineer in Tests," Overview Testing is an essential part of a software. This is all the more true in the case of medical software where testing is critical to patient safety. Our testing team is at a crossroads of several fieds: business, clinical and technical. At Incepto, the Software Engineer in Tests does not execute manual tests but builds generic and scalable tests automation softwares. He/she is deeply invol","[{'name': 'Java', 'value': 80.0}, {'name': 'Python', 'value': 80.0}, {'name': 'Selenium', 'value': 60.0}, {'name': 'Docker', 'value': 70.0}, {'name': 'Google Cloud', 'value': 50.0}, {'name': 'Kubernetes', 'value': 20.0}]",1,,,"{""permanent"": true}",,,,
15,10,DevOps H/F,"Vos missions

Maintenir en condition opérationnelle les infrastructures virtualisées en diagnostiquant les pannes et les dysfonctionnements
Configurer et dimensionner les plateformes en fonction des performances requises
Industrialiser les architectures cibles et configurer les équipements (CI / CD)
Mettre en place des procédures et outils de surveillance permettant de garantir la haute disponibil","[{'name': 'Google Cloud', 'value': 50.0}, {'name': 'Kubernetes', 'value': 50.0}, {'name': 'Microsoft SQL Server', 'value': 50.0}, {'name': 'Grafana', 'value': 50.0}, {'name': 'Gitlab', 'value': 50.0}, {'name': 'Jenkins', 'value': 50.0}, {'name': 'Azure Devops', 'value': 50.0}, {'name': 'Terraform', 'value': 50.0}, {'name': 'Prometheus', 'value': 50.0}, {'name': 'VMWare', 'value': 50.0}, {'name': 'Ansible', 'value': 50.0}, {'name': 'SQL', 'value': 50.0}]",5,50.0,60.0,"{""permanent"": true}",2.0,fr,,
